acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
-0.0758,0.0706,0.2675,0.16,-0.051,-0.115,person2
-0.2555,0.256,-0.1179,0.221,-0.135,-0.201,person2
-0.1614,0.2227,-0.0038,0.188,-0.152,-0.182,person2
-0.0887,0.225,0.0821,0.089,-0.136,-0.125,person2
-0.1832,0.369,0.0565,0.005,-0.201,-0.09,person2
-0.2537,0.3449,-0.1597,-0.069,-0.226,0.098,person2
-0.0587,0.132,-0.3798,-0.123,-0.141,0.265,person2
0.207,0.0819,-0.29,-0.13,-0.122,0.27,person2
0.3723,0.1639,-0.0556,-0.142,-0.1,0.273,person2
0.3439,0.2186,0.0593,-0.152,-0.07,0.274,person2
0.2268,0.23,0.1782,-0.16,-0.025,0.266,person2
0.137,0.1726,0.1736,-0.184,0.089,0.24,person2
0.0323,0.1397,0.0922,-0.192,0.109,0.23,person2
-0.1716,0.1994,0.0911,-0.201,0.121,0.222,person2
-0.2355,0.289,0.1992,-0.207,0.125,0.214,person2
-0.1646,0.3161,0.2113,-0.216,0.127,0.208,person2
-0.145,0.1918,0.1754,-0.221,0.127,0.202,person2
-0.2378,0.0702,0.2052,-0.226,0.131,0.204,person2
-0.2176,0.0063,0.3667,-0.23,0.138,0.207,person2
-0.17,-0.0377,0.5206,-0.227,0.15,0.213,person2
-0.0857,-0.0223,0.7861,-0.223,0.171,0.222,person2
0.0585,0.0057,1.0033,-0.217,0.197,0.231,person2
0.0433,0.0298,0.9571,-0.194,0.294,0.268,person2
-0.0529,-0.0353,0.6967,-0.19,0.324,0.288,person2
-0.1151,-0.1109,0.3446,-0.184,0.352,0.304,person2
-0.0735,-0.1553,0.1601,-0.181,0.373,0.32,person2
0.0321,-0.2277,0.1547,-0.179,0.388,0.336,person2
0.1581,-0.3037,0.2421,-0.179,0.399,0.352,person2
0.1782,-0.3682,0.34,-0.183,0.399,0.368,person2
0.1211,-0.3235,0.39,-0.19,0.389,0.388,person2
-0.0449,-0.2202,0.5078,-0.197,0.376,0.407,person2
-0.1612,-0.0877,0.5673,-0.205,0.361,0.426,person2
-0.2537,-0.0395,0.6329,-0.219,0.348,0.446,person2
-0.3182,0.0331,0.4877,-0.271,0.293,0.523,person2
-0.3365,-0.038,0.0981,-0.282,0.286,0.539,person2
-0.2482,-0.1218,-0.1421,-0.294,0.278,0.555,person2
-0.1192,-0.0795,-0.2264,-0.306,0.273,0.564,person2
-0.1917,-0.0407,0.0011,-0.346,0.273,0.6,person2
-0.1348,-0.1899,0.6416,-0.357,0.279,0.608,person2
-0.2139,-0.1058,0.9205,-0.368,0.286,0.619,person2
-0.3165,-0.2281,1.2496,-0.38,0.297,0.631,person2
-0.4267,-0.5047,1.5702,-0.391,0.306,0.644,person2
-0.7379,-0.7027,1.7591,-0.404,0.316,0.656,person2
-1.0889,-0.7921,1.9075,-0.414,0.324,0.666,person2
-1.4796,-0.793,1.9333,-0.418,0.327,0.675,person2
-1.7502,-0.7551,1.8079,-0.422,0.327,0.683,person2
-1.9731,-0.8585,1.8118,-0.423,0.324,0.691,person2
-1.9067,-1.0163,1.6782,-0.421,0.318,0.697,person2
-1.6624,-1.2118,1.4039,-0.371,0.335,0.688,person2
-1.0807,-1.238,0.5803,-0.351,0.346,0.684,person2
-0.8435,-0.9793,-1.0347,-0.33,0.356,0.678,person2
-1.3079,-0.8845,-2.0751,-0.304,0.353,0.68,person2
-1.3769,-0.7378,-2.615,-0.233,0.192,0.738,person2
-0.588,-1.4553,-7.2074,-0.209,0.111,0.77,person2
0.2709,-1.2391,-10.8233,-0.182,0.029,0.808,person2
-2.0197,2.7783,-0.4348,-0.156,-0.054,0.847,person2
-1.9771,0.8568,1.3464,-0.063,-0.359,0.993,person2
-1.5438,-1.3654,1.7872,-0.045,-0.434,1.014,person2
-1.9459,-1.2668,5.1746,-0.035,-0.516,1.024,person2
-2.2917,-1.2836,3.0413,-0.023,-0.602,1.025,person2
-2.5792,-0.8038,-1.0471,-0.004,-0.876,0.968,person2
-0.1896,0.4867,-5.3939,0.006,-0.961,0.93,person2
1.2516,1.7656,-9.5517,0.034,-1.119,0.813,person2
0.9401,2.624,-10.584,0.052,-1.215,0.739,person2
0.9487,2.7352,-9.6734,0.103,-1.678,0.545,person2
1.2661,2.1004,-7.256,0.123,-1.895,0.504,person2
1.1894,1.6082,-4.452,0.146,-2.121,0.472,person2
1.1208,0.9696,-2.3584,0.179,-2.354,0.456,person2
