label,acc_x_mean,acc_x_std,acc_x_max,acc_x_min,acc_y_mean,acc_y_std,acc_y_max,acc_y_min,acc_z_mean,acc_z_std,acc_z_max,acc_z_min,gyro_x_mean,gyro_x_std,gyro_x_max,gyro_x_min,gyro_y_mean,gyro_y_std,gyro_y_max,gyro_y_min,gyro_z_mean,gyro_z_std,gyro_z_max,gyro_z_min
person1,-0.062427,1.7483741583386734,4.382,-3.8877,-0.1597039999999999,1.149161305581799,1.5739,-3.4533,-0.1995689999999999,1.708837831061706,3.3014,-6.6653,0.01188,0.546215783756056,1.253,-1.087,0.10171,0.5072679306188629,0.919,-2.023,-0.72914,0.5276095131665448,0.321,-1.489
person1,-0.782507,1.674340703550704,4.382,-3.8877,-0.050596,1.0973362748883582,1.4131,-3.4533,0.00691,2.003136845328125,5.5667,-6.6653,-0.3273,0.5947222847343087,1.253,-1.087,-0.4549399999999999,0.6122146388648381,0.584,-2.023,-1.0331,0.2375141675731782,-0.497,-1.489
person1,0.159462,2.1731812857568134,6.7299,-4.3291,-0.060676,1.731555564967436,4.4516,-3.7705,0.4175450000000001,2.650853856774218,11.5271,-7.7685,-0.4044,0.3791452907727479,0.351,-0.871,-0.59461,0.4251186618659156,0.15,-1.635,-0.8660399999999998,0.1153568832148758,-0.579,-1.031
person1,0.4794369999999999,2.8808279858350976,7.4435,-6.6519,-0.69333,3.180589248421072,4.4516,-15.9248,-0.070158,3.0327284992124426,11.5271,-7.7685,-0.4315800000000001,0.3815982651422775,0.351,-0.926,-0.23452,0.3241887927324652,0.568,-0.747,-0.9253600000000002,0.1615603536725142,-0.579,-1.222
person1,0.113271,2.923781817271783,7.4435,-6.6519,-0.909524,3.913429405204493,4.9335,-15.9248,-0.4865359999999999,3.7735709005822606,11.9215,-5.9296,-0.60656,0.2851272025187383,-0.235,-1.316,0.5914200000000001,1.0958380325282353,3.503,-0.443,-0.8821599999999999,0.2041535726165996,-0.414,-1.222
person1,0.2436519999999999,2.581390700491078,5.6867,-5.8265,-0.2857910000000001,3.8655528292047343,8.8219,-11.0395,-0.4582240000000001,4.146160057309935,11.9215,-9.2977,-0.90166,0.4472004549066189,-0.256,-1.665,2.38345,1.4556010343538923,4.235,0.19,-0.3736,0.8105799021551039,1.523,-1.076
person1,0.195699,2.857526564419415,5.6867,-5.7129,-0.0453869999999999,3.4240226242601635,8.8219,-11.0057,-1.114901,3.4085680830618124,6.362,-9.2977,-1.47542,0.3380263028436417,-0.717,-1.997,2.87166,1.13933977177818,4.235,0.835,0.47472,0.8876674470575434,1.523,-1.076
person1,0.2112589999999999,2.762914141253467,4.7752,-5.7129,-0.4739739999999999,3.974688355653773,7.9292,-12.6144,-0.8420610000000002,3.801184719199231,11.2929,-7.1104,-1.14711,0.8108166465005662,0.868,-1.997,1.3514199999999996,1.2762018948284148,4.159,-0.267,0.64605,0.3932933820234385,1.176,-0.008
person1,-0.1934939999999999,2.331455308107151,4.3612,-5.2762,-0.799744,3.5618195642319472,7.9292,-12.6144,-0.366927,3.6713476567519976,11.2929,-7.1104,-0.3351599999999999,0.7244147860322995,1.04,-1.817,0.26174,0.5454549693937746,1.375,-0.65,-0.4330000000000001,0.977398278052194,1.067,-3.039
person1,-0.2092299999999999,2.600517306210245,3.5607,-6.328,-0.493467,3.31249082206634,5.4782,-10.6261,-0.714532,3.5499602690586487,10.9544,-6.334,0.5330599999999999,0.939085228864083,2.308,-0.89,-0.6200800000000001,0.8874590749420334,0.8,-2.033,-1.30091,0.7719993339480038,0.2,-3.039
person1,-0.60445,2.9527932871206284,3.3801,-8.069,-0.466515,3.211826762387864,5.4782,-10.6261,-0.4763439999999999,3.37670949356071,10.9544,-5.3641,0.17709,1.1546811715706626,2.308,-1.099,-0.6971800000000001,0.7620980925223882,0.323,-2.033,-0.7647400000000002,0.8303792199283944,0.396,-3.002
person1,-0.352201,2.93248361213725,4.2696,-8.069,-0.383842,1.725180669337141,2.7537,-5.3442,-0.7764320000000001,3.0473192360897183,7.9809,-7.3415,-0.4269400000000001,0.5369692318556026,0.478,-1.099,0.1049399999999999,0.3979865948709449,1.349,-0.873,-0.00459,0.2992366751883495,0.61,-0.55
person1,0.110122,2.1463040314150943,4.2696,-5.3127,-0.373973,1.6177128680346984,2.7537,-5.3174,-0.365355,2.7012311451017434,7.9809,-7.3415,-0.2338199999999999,0.5444307263165588,0.571,-1.559,0.58889,0.4453387972582608,1.377,-0.2,0.02451,0.3822683624223837,0.61,-0.744
