# Target Sample Rate: 100 Hz,,,,
# Max Device Sample Rate: 400 Hz,,,,
# Recording started at: 2026-02-07 14:16:38.835,,,,
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001328,-0.763,0.303,-1.678,1.87
0.015919,-0.3577,0.0746,-1.894,1.93
0.020689,-0.1698,-0.2274,-2.2215,2.24
0.03188,-0.2632,-0.3467,-2.6569,2.69
0.041139,-0.3703,-0.1566,-3.2412,3.27
0.050806,-0.4965,0.0702,-3.698,3.73
0.063138,-0.4182,0.3723,-3.8348,3.88
0.071335,3.4001,0.4072,5.729,6.67
0.081085,2.3543,1.0532,10.4158,10.73
0.097316,4.9291,2.1698,5.4202,7.64
0.101253,-1.6151,2.1397,1.0396,2.88
0.114954,-2.2735,2.2804,2.3385,3.98
0.121764,-2.619,0.8556,0.5217,2.8
0.134341,-3.7064,-0.1435,-1.5464,4.02
0.145211,-3.2942,-0.4389,-1.691,3.73
0.151662,2.4115,-0.1498,-2.3494,3.37
0.164034,3.4966,1.2648,-1.9349,4.19
0.17252,1.3455,0.5129,-2.2101,2.64
0.182115,-0.0533,-0.3598,-1.7177,1.76
0.196784,-0.2186,-0.0111,-0.3685,0.43
0.202814,-0.4611,1.1002,0.257,1.22
0.213313,-0.9545,1.0846,0.343,1.48
0.222609,-0.9325,0.3276,0.1796,1
0.232453,0.1735,-0.1076,-0.0748,0.22
0.246701,1.0067,-0.5774,-0.0161,1.16
0.25273,1.2434,-1.0753,0.2751,1.67
0.262961,1.5143,-1.2545,0.5401,2.04
0.273097,1.5652,-1.5361,0.5149,2.25
0.282762,0.9681,-1.6471,0.7306,2.05
0.29667,-0.466,-0.7407,0.5212,1.02
0.30346,0.1127,-0.2647,1.1056,1.14
0.314023,1.0379,-1.1361,1.1817,1.94
0.324008,1.3445,-1.7995,1.1734,2.53
0.333109,1.4228,-1.7344,1.0188,2.46
0.346528,1.2012,-1.7104,0.6169,2.18
0.353152,0.4618,-0.8243,0.4442,1.04
0.363489,-0.5425,0.3093,0.4589,0.77
0.373652,-0.7999,1.0216,0.6137,1.44
0.383788,-0.4376,0.7444,0.3934,0.95
0.401499,0.1975,0.6436,0.334,0.75
0.417374,0.3542,0.0004,0.5852,0.68
0.423491,0.3781,0.9097,1.5605,1.85
0.433821,-0.5034,1.2097,1.589,2.06
0.447292,-0.3041,1.3684,0.5817,1.52
0.453787,-0.2912,1.5219,0.0828,1.55
0.464441,-0.1945,0.9244,-0.3918,1.02
0.474407,0.0687,0.0168,-0.4528,0.46
0.495006,0.0828,-0.2963,-0.0026,0.31
0.509158,0.1647,-0.6602,0.5411,0.87
0.509247,0.8493,-1.0552,1.1234,1.76
0.514447,1.6345,-1.4732,1.5069,2.67
0.529682,2.2764,-1.8017,1.3473,3.2
0.534652,2.0479,-2.0188,-0.3261,2.89
0.547932,1.0439,-1.9319,-3.1385,3.83
0.554665,1.5909,-2.0597,-4.0212,4.79
0.565226,4.091,-2.2029,-4.9899,6.82
0.581357,4.0337,-2.792,-8.6519,9.95
0.58503,3.9768,-3.4702,-8.6309,10.12
0.597131,4.2686,-4.3067,-7.3615,9.54
0.605112,3.3708,-4.3798,-6.0788,8.22
0.615224,2.1937,-4.1059,-4.9776,6.82
0.630576,1.5186,-3.7557,-3.3774,5.27
0.635257,1.194,-3.7242,-2.0919,4.44
0.646195,1.6857,-3.1175,-1.1211,3.72
0.656028,1.4523,-2.9988,-0.7405,3.41
0.665725,1.3225,-2.628,-0.2283,2.95
0.680175,0.6493,-2.404,-0.0225,2.49
0.685598,-0.3474,-1.9546,0.2744,2
0.696224,-1.0748,-1.4683,0.6265,1.92
0.706272,-1.1145,-1.369,0.0343,1.77
0.716114,-0.6137,-1.1841,-0.9425,1.63
0.730282,-0.5566,-0.7288,-1.5169,1.77
0.736442,-0.8592,-0.5488,-1.9396,2.19
0.746331,-1.2624,-0.329,-1.9349,2.33
0.756709,-1.8282,-0.1847,-1.734,2.53
0.766318,-2.4,0.0979,-1.3054,2.73
0.779986,-2.8207,0.4536,-0.8797,2.99
0.786653,-2.7361,0.7678,-0.6618,2.92
0.796789,-1.8708,0.669,-0.5347,2.06
0.807069,-1.0905,0.4064,-0.6342,1.33
0.816864,-1.0044,0.5933,-0.8418,1.44
0.830024,-1.5183,0.7529,-0.8216,1.88
0.837327,-1.6453,0.9127,-0.8611,2.07
0.847295,-1.9445,1.0441,-0.6594,2.3
0.857542,-2.5617,1.4388,0.0839,2.94
0.867262,-2.9853,1.8195,0.9381,3.62
0.879951,-3.2174,2.0905,1.6442,4.17
0.887516,-3.3791,2.2208,2.0226,4.52
0.897425,-3.4964,2.1803,2.1575,4.65
0.907919,-3.3436,2.1016,1.909,4.39
0.917331,-2.8148,1.9552,1.6456,3.8
0.930846,-1.5178,1.4532,1.4708,2.56
0.938385,-0.2306,1.1303,1.5924,1.97
0.948678,-0.2146,1.3435,2.2598,2.64
0.963453,-0.9828,1.4758,3.154,3.62
0.968095,-2.2341,1.4758,3.6219,4.5
0.980095,-3.4626,1.4621,3.9688,5.47
0.988538,-4.5746,1.4675,3.7979,6.12
0.998555,-5.5082,1.3815,3.2666,6.55
1.013687,-6.1846,1.4684,2.5763,6.86
1.018371,-6.4573,1.4876,1.9427,6.91
1.030246,-6.1412,1.5209,1.7765,6.57
1.038893,-5.3329,1.4208,2.2776,5.97
1.048425,-4.597,1.3871,3.131,5.73
1.063417,-4.0297,1.3586,3.8453,5.73
1.068489,-4.0583,1.6063,4.0578,5.96
1.079545,-4.5061,1.7089,3.9032,6.2
1.088716,-5.0732,1.8439,3.5349,6.45
1.098732,-5.0926,1.9388,3.4619,6.46
1.113493,-4.7369,2.0525,3.7542,6.38
1.119025,-3.3789,2.3256,3.9085,5.67
1.129702,-1.3737,2.1688,3.9795,4.74
1.138996,0.3977,2.1441,4.0006,4.56
1.149125,1.8858,2.2447,3.8841,4.87
1.16491,2.9299,2.1713,3.818,5.28
1.169004,3.5442,2.2724,3.1023,5.23
1.184347,3.9145,2.1015,2.2564,4.98
1.189142,3.67,1.9102,1.0582,4.27
1.199274,3.092,1.4026,0.0906,3.4
1.220048,2.2114,1.0222,-0.3014,2.45
1.22024,1.3404,0.9953,-0.1715,1.68
1.230305,0.5722,1.0972,0.4959,1.33
1.239716,0.2271,1.0983,0.7118,1.33
1.249675,1.1033,1.047,0.5021,1.6
1.267202,2.2157,0.786,0.1242,2.35
1.270111,2.0729,0.8313,-0.0407,2.23
1.282853,1.3048,0.871,-1.5296,2.19
1.289881,0.7852,0.444,-2.3371,2.51
1.299932,0.4639,0.4483,-2.1675,2.26
1.316087,-0.1761,0.9793,-1.6349,1.91
1.320503,-0.5777,1.304,-1.1656,1.84
1.330243,-0.1025,0.7309,-0.8794,1.15
1.340872,1.367,0.9702,-0.9202,1.91
1.350617,2.8602,0.8252,-0.8984,3.11
1.363227,3.0066,-0.1238,-1.0219,3.18
1.371006,1.7484,-0.1597,-1.3083,2.19
1.381066,0.2103,0.377,-1.6011,1.66
1.391277,-1.0293,0.2965,-1.3359,1.71
1.400936,-1.5902,0.6869,-0.3686,1.77
1.413791,-1.3563,1.2105,0.2008,1.83
1.42142,-0.1243,1.3307,-0.0089,1.34
1.433767,0.8247,0.7356,-1.5917,1.94
1.44627,1.5577,0.3301,-2.4756,2.94
1.451294,1.8006,0,-2.5041,3.08
1.4635,0.3735,-0.9728,-2.4797,2.69
1.471725,-1.4657,-1.5232,-2.3145,3.13
1.482316,-2.0591,-0.9746,-1.7621,2.88
1.491656,-0.8828,-0.3507,-1.6382,1.89
1.501416,-0.3411,0.2885,-0.9277,1.03
1.513663,0.5199,0.6115,-0.1675,0.82
1.522302,0.3532,-0.2844,-0.7839,0.91
1.531977,0.4741,-0.771,-0.3966,0.99
1.546506,0.7218,-0.7561,0.0649,1.05
1.551998,1.2224,-1.1403,-0.0481,1.67
1.563063,0.6741,-1.5926,0.2071,1.74
1.572781,-1.1615,-1.2891,0.1798,1.74
1.582415,-2.36,-0.3769,-0.4569,2.43
1.59685,-2.7517,1.6029,0.8638,3.3
1.602334,-1.4668,0.5417,1.2393,2
1.612972,-0.3096,0.3092,0.7967,0.91
1.623143,1.0319,0.7454,1.0765,1.67
1.63298,1.7229,0.5989,1.1047,2.13
1.647104,1.2578,-0.2189,0.9624,1.6
1.652684,0.6114,-0.6692,0.2817,0.95
1.66297,0.2799,-0.9928,0.5134,1.15
1.673648,0.386,-0.6514,0.8669,1.15
1.682975,-0.1559,-1.3339,0.9575,1.65
1.696749,-1.0628,-2.0648,0.57,2.39
1.703285,-2.0152,-2.1504,0.4541,2.98
1.713266,-2.94,-1.2296,0.8026,3.29
1.723894,-3.2147,-0.1177,1.2261,3.44
1.733293,-3.4306,0.5034,1.5314,3.79
1.746629,-3.3413,0.5528,1.9751,3.92
1.754219,-3.1531,0.4985,2.2008,3.88
1.763558,-2.9489,0.2504,2.3826,3.8
1.774171,-3.0838,-0.1297,2.6699,4.08
1.78372,-2.8092,-0.5908,2.6228,3.89
1.799293,-2.1809,-1.054,2.1048,3.21
