# Target Sample Rate: 400 Hz,,,,
# Max Device Sample Rate: 400 Hz,,,,
# Recording started at: 2026-02-07 14:14:04.574,,,,
time,Ï‰â‚“ (rad/s),Ï‰áµ§ (rad/s),Ï‰á¶» (rad/s),Ï‰_total (rad/s)
0.009993,-0.236,0.892,0.217,0.948
0.019602,-0.27,1.005,0.3,1.083
0.032053,-0.361,0.926,0.344,1.052
0.036066,-0.4,0.772,0.357,0.94
0.03888,-0.396,0.743,0.358,0.915
0.05256,-0.384,0.718,0.362,0.891
0.060783,-0.24,0.632,0.382,0.777
0.0642,-0.132,0.577,0.394,0.711
0.066584,-0.089,0.557,0.391,0.686
0.069269,-0.046,0.544,0.387,0.669
0.071586,-0.002,0.536,0.38,0.657
0.089519,0.045,0.53,0.372,0.649
0.095952,0.34,0.552,0.252,0.696
0.096203,0.374,0.552,0.229,0.705
0.099434,0.446,0.542,0.182,0.724
0.10218,0.483,0.538,0.161,0.741
0.104463,0.515,0.534,0.141,0.755
0.1118,0.545,0.534,0.129,0.774
0.11438,0.62,0.572,0.131,0.854
0.116762,0.64,0.594,0.142,0.884
0.119667,0.655,0.619,0.165,0.917
0.121917,0.667,0.645,0.187,0.947
0.12929,0.677,0.664,0.218,0.973
0.132058,0.675,0.703,0.31,1.023
0.134547,0.663,0.719,0.344,1.037
0.137208,0.647,0.733,0.376,1.048
0.139694,0.624,0.735,0.4,1.044
0.152897,0.598,0.735,0.415,1.035
0.155219,0.427,0.706,0.448,0.938
0.164956,0.384,0.701,0.445,0.915
0.169759,0.199,0.606,0.391,0.748
0.172151,0.163,0.571,0.369,0.7
0.177822,0.133,0.549,0.35,0.665
0.182429,0.045,0.479,0.302,0.568
0.185159,0.02,0.464,0.293,0.549
0.187239,-0.003,0.452,0.292,0.538
0.195514,-0.02,0.446,0.293,0.533
0.198208,-0.049,0.443,0.342,0.562
0.202693,-0.048,0.394,0.388,0.556
0.205049,-0.042,0.35,0.411,0.541
0.212461,-0.028,0.309,0.441,0.539
0.215281,0.021,0.12,0.537,0.55
0.217696,0.043,0.036,0.57,0.572
0.220318,0.067,-0.039,0.602,0.607
0.222995,0.091,-0.107,0.627,0.643
0.2291,0.115,-0.166,0.653,0.683
0.229337,0.139,-0.223,0.685,0.733
0.23014,0.161,-0.279,0.714,0.784
0.232545,0.179,-0.333,0.748,0.838
0.235257,0.188,-0.38,0.787,0.894
0.237994,0.189,-0.418,0.826,0.945
0.244977,0.179,-0.441,0.866,0.988
0.247993,0.086,-0.425,0.964,1.057
0.25033,0.048,-0.433,0.997,1.088
0.253138,0.007,-0.448,1.031,1.124
0.255299,-0.036,-0.469,1.067,1.166
0.261979,-0.078,-0.496,1.103,1.212
0.262268,-0.122,-0.521,1.144,1.263
0.26318,-0.164,-0.539,1.186,1.313
0.265596,-0.206,-0.55,1.233,1.366
0.268034,-0.25,-0.549,1.283,1.418
0.270582,-0.296,-0.542,1.332,1.468
0.278966,-0.345,-0.534,1.376,1.516
0.283083,-0.664,-0.723,1.428,1.733
0.285845,-0.75,-0.752,1.416,1.77
0.288092,-0.832,-0.759,1.407,1.802
0.29575,-0.905,-0.773,1.39,1.83
0.298465,-1.061,-0.657,1.327,1.821
